			도서출판 한티재 출간 도서 목록								ㄴ					
No.	분 야	시리즈	제 목	부 제	지은이	옮긴이	발행일	쪽수	 가격	판형	ISBN	선정 / 추천 / 수상	절판 여부	전자책	전자책 ISBN (시리즈  ISBN)	원고량
32	청소년 / 소설		나무 연필 깎기	청소년이 쓴 소설 모음 	정가영 외		2014-05-26	224쪽	  13,000 	144*205	978-89-97090-29-7  03810	대구광역시교육청 책쓰기 프로젝트 선정작				
33	청소년		책 쓰기 좋은 날	초등학생, 우리들의 이야기	이하은 외		2014-05-26	224쪽	  13,000 	152*210	978-89-97090-30-3  03810	대구광역시교육청 책쓰기 프로젝트 선정작				
34	청소년		선생님과 함께하는 대구읍성 답사		이관구 선생님과 수창초 학생들		2014-05-26	240쪽	  15,000 	152*210	978-89-97090-31-0  03810	대구광역시교육청 책쓰기 프로젝트 선정작				
35	청소년 / 에세이		가지 못한 길	중학생이 쓴 부모님의 인생 이야기	정예진 외		2014-05-26	224쪽	  13,000 	144*205	978-89-97090-32-7  03810	대구광역시교육청 책쓰기 프로젝트 선정작				
36	청소년 / 소설		그때 그 나무가 있었다	청소년이 쓴 소설 모음 	곽민수 외		2014-05-26	368쪽	  15,000 	152*215	978-89-97090-33-4  03810	대구광역시교육청 책쓰기 프로젝트 선정작				
37	시 / 청소년시	한티재 시선 002	학교는 입이 크다	교사 시인 박일환의 청소년시	박일환		2014-07-14	108쪽	  8,000 	150*210	978-89-97090-34-1  43810	2014 세종도서 문학나눔 선정 도서				
38	사회과학		삼평리에 평화를	송전탑과 맞짱뜨는 할매들 이야기	뉴스민 기획, 박중엽 외 지음		2014-07-23	252쪽	  13,000 	147*210	978-89-97090-35-8  03300	2014 올해의 청소년 환경책 / 2014 평화도서관 나무가 고른 '2014 올해의 평화책'	절판			
39	사회과학 / 에세이		마을공화국의 꿈, 홍동마을 이야기	새로운 교육·농업·정치를 일구다	홍동마을 사람들		2014-10-06	328쪽	  15,000 	152*223	978-89-97090-36-5  03810	2015 세종도서 교양부문 선정 도서				
40	시	한티재 시선 003	당부	신경현 시집	신경현		2014-12-08	96쪽	  8,000 	125*200	978-89-97090-37-2  03810					
41	청소년 / 시		지금은 0교시	경주여고 학생 시집	배창환 엮음		2014-12-15	168쪽	  9,000 	148*210	978-89-97090-38-9  43810					
42	에세이		둥글이의 유랑투쟁기	자발적 가난과 사회적 실천의 여정	박성수		2014-12-29	320쪽	  15,000 	143*210	978-89-97090-39-6  03810					
43	사회과학	팸플릿 001	착한 전기는 가능하다	우리가 몰랐던 전기 이야기	하승수		2015-01-16	128쪽	  8,000 	130*185	978-89-97090-41-9  04300 	2015 올해의 청소년 환경책			(팸플릿  978-89-97090-40-2)	
44	사회과학		농부의 나라	협동연대 국민대안농정 	정기석		2015-02-02	264쪽	  15,000 	144*205	978-89-97090-42-6  03300					
45	에세이		詩와 공화국	변홍철 산문집	변홍철		2015-03-01	312쪽	  13,000 	134*205	978-89-97090-43-3 03810					
46	사회과학	팸플릿 002	나는 국가로부터 배당받을 권리가 있다	생태적 전환과 해방을 위한 기본소득	하승수		2015-03-16	138쪽	  8,000 	130*185	978-89-97090-44-0  04300 					
47	사회과학 / 에세이		남북 청춘, 인권을 말하다	분단국가의 양쪽에서 태어난 청춘들의 진짜 인권 이야기	토닥토닥출판모임 기획, 허다연 외 지음		2015-04-13	256쪽	  14,000 	148*210	978-89-97090-45-7 03810	2015 세종도서 교양부문 선정 도서				
48	사회과학		탈핵 탈송전탑 원정대	밀양 할매 할배들이 발로 쓴 대한민국 ‘나쁜 전기’ 보고서	밀양 할매 할배들		2015-05-11	264쪽	  15,000 	152*210	978-89-97090-47-1 03300	제56회 한국출판문화상 편집부분 후보작				
49	사회과학		민들레처럼 불나비처럼	노동운동가 권영숙 추모집	권영숙동지추모사업회 엮음		2015-05-24	268쪽	  15,000 	152*210	978-89-97090-48-8 03810		절판			
50	인문		좋은 삶을 위한 인문학 50계단	5인의 인문학자가 권하는 고전 50선	경산신문 기획, 권오현 외 지음		2015-07-01	340쪽	  15,000 	152*223	978-89-97090-46-4  03100					
51	인문 / 사회		아렌트의 정치	한나 아렌트의 정치이론과 한국사회	권정우·하승우		2015-08-24	272쪽	  15,000 	144*215	978-89-97090-49-5 03300					
52	에세이		이천 년의 꽃	삼국시대의 107가지 식물 이야기	김규원		2015-08-27	256쪽	  15,000 	150*210	978-89-97090-50-1  03810					
53	시	한티재 시선 004	마당에서	박순희 시집	박순희		2015-09-16	116쪽	  8,500 	125*196	978-89-97090-51-8  03810					
54	에세이		강을 버린 세계에서 살아가기	황규관 산문집	황규관		2015-10-26	272쪽	  15,000 	144*215	978-89-97090-52-5  03810					
55	인문 / 사회		소농, 문명의 뿌리	미국의 뿌리는 어떻게 뽑혔는가	웬델 베리	이승렬	2016-01-25	464쪽	  19,000 	145*215	978-89-97090-54-9  03840	2016 올해의 환경책				
56	에세이		고르게 가난한 사회	이계삼 칼럼집	이계삼		2016-02-15	312쪽	  15,000 	134*205	978-89-97090-55-6  03810					850매
57	사회과학	팸플릿 003	삶을 위한 정치혁명	시스템의 노예에서 시스템의 주인으로	하승수		2016-03-07	156쪽	  8,000 	130*185	978-89-97090-56-3  04300		절판	● 	979-11-90178-16-7 (05300)	
58	시	한티재 시선 005	배달 일기	최진 시집	최진		2016-03-19	136쪽	  8,000 	125*200	978-89-97090-57-0  03810					
59	청소년		여드름 필 무렵	추풍령중학교 ‘도담도담’이 만난  일상, 마을, 역사	추풍령중학교 책쓰기 동아리 ‘도담도담’ 		2016-06-07	248쪽	  13,000 	145*215	978-89-97090-58-7  43810	충북교육청 우수동아리 책출판 지원사업 선정작				
60	시	한티재 시선 006	천둥의 뿌리	이하석 시집	이하석		2016-09-19	132쪽	  8,000 	125*200	978-89-97090-59-4 (03810)	2017 세종도서 문학나눔 선정 도서				
61	사회과학		대통령 기록전쟁	노무현, 대통령기록을 남긴 죄	전진한		2016-10-03	268쪽	  15,000 	145*215	978-89-97090-60-0 (03300)			● 	979-11-90178-03-7 (05300)	
62	시	한티재 시선 007	바람이 시의 목을 베고	채형복 시집	채형복		2016-11-14	148쪽	  8,000 	125*200	978-89-97090-61-7 (03810)	2017 세종도서 문학나눔 선정 도서				
63	시	한티재 시선 008	하늘 몇 평	조재형 시집	조재형		2016-11-21	120쪽	  8,000 	125*200	978-89-97090-62-4 (03810)					
64	인문		법정에 선 문학	 한국 현대문학 7건의 필화 사건	채형복		2016-12-26	288쪽	  15,000 	145*215	978-89-97090-63-1 (03900)	대구출판인쇄산업경쟁력강화사업단 2016년 우수출판콘텐츠 선정작				
65	사회과학	팸플릿 004	시민에게 권력을	시민의 정치를 위한 안내서	하승우		2017-01-09	140쪽	  8,000 	130*185	978-89-97090-64-8 (04300)			● 	979-11-90178-17-4 (05300)	
66	사회과학	팸플릿 005	내가 알아야 민주주의다	우리 삶과 세상을 바꾸는 주권자 정치	박승옥		2017-01-25	220쪽	  10,000 	130*185	978-89-97090-65-5 (04300)		절판	● 	979-11-90178-18-1 (05300)	
67	시	한티재 시선 009	성주가 평화다	사드배치 철회 성주촛불투쟁 200일 기념 시집	사드배치철회 성주투쟁위원회, 대구경북작가회의, 성주문학회		2017-01-28	152쪽	  9,000 	125*200	978-89-97090-66-2 (03810)					
68	사회과학	팸플릿 006	헌법개정	개헌의 이론과 현실	김해원		2017-03-27	152쪽	  9,000 	130*185	978-89-97090-67-9 (04300)					
69	사회과학	팸플릿 007	굿바이! 미세먼지	PM10, PM2.5의 위험성과 대책	남준희, 김민재		2017-04-10	144쪽	  9,000 	130*185	978-89-97090-68-6 (04300)					
70	에세이		잊지 않고 있어요, 그날의 약속	세월호를 기억하는 대구 사람들	세월호참사대구시민대책위원회 기획, 한유미 씀		2017-04-16	256쪽	  13,000 	145*205	978-89-97090-69-3 (03300)					
71	인문 / 역사	교양문고 001	생태주의 역사강의	근대와 국가를 다시 묻는다	백승종		2017-05-15	176쪽	  14,000 	125*188	978-89-97090-70-9 (04900)				(교양문고 978-89-97090-73-0)	
72	사회과학 / 에세이		들꽃, 공단에 피다	세상을 바꾸는 투쟁, 아사히 비정규직지회 이야기	아사히 비정규직지회		2017-05-29	300쪽	  15,000 	145*205	978-89-97090-71-6 (03300)	제2회 한국지역출판대상 천인독자상 대상 선정작				
73	시	한티재 시선 010	편향의 곧은 나무	김수상 시집	김수상		2017-06-19	176쪽	  8,000 	125*200	978-89-97090-74-7 (03810)					
74	인문 / 종교	교양문고 002	시대의 끝에서	성서와 역사 이야기	박경미		2017-06-19	276쪽	  14,000 	125*188	978-89-97090-72-3 (04230)					
75	사회과학	팸플릿 008	지방자치 새로고침	지방자치, 선거제도, 민주주의	윤병국		2017-09-18	240쪽	  10,000 	130*185	978-89-97090-75-4 (04300)					
76	종교	교양문고 003	기독교 본질 논쟁	하르낙 교수와 그의 옥스퍼드 비평가들	토머스 베일리 손더스	김재현, 김태익	2017-10-10	164쪽	  12,000 	125*188	978-89-97090-76-1 (04230)					
77	사회과학	팸플릿 009	선거, 버려야 이긴다	이기는 선거를 위한 실전 매뉴얼	김준수		2017-12-11	330쪽	  15,000 	130*185	978-89-97090-77-8 (04340)			● 	979-11-90178-05-1 (05340)	
